AST/Moss/JPlag:
	plag1.cpp	plag2.cpp	plag3.cpp	plag4.cpp	plag7.cpp	plag10.cpp	plag11.cpp	plag12.cpp	plag13.cpp	plag14.cpp	plag15.cpp	plag16.cpp	plag17.cpp	plag18.cpp	plag19.cpp	plag20.cpp	plag21.cpp	plag22.cpp	plag23.cpp	plag24.cpp	plag25.cpp	plag26.cpp	plag27.cpp	plag28.cpp	plag29.cpp	plag30.cpp
orig1.cpp	100/55/57	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	100/99/100	0/0/0	0/0/0	2/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig2.cpp	0/0/0	100/57/53	8/0/0	8/0/0	0/0/0	8/0/0	16/0/0	16/0/0	0/0/0	8/0/0	0/0/0	0/0/0	16/0/0	0/0/0	0/0/0	0/0/0	0/0/0	8/0/0	0/0/0	0/0/0	8/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig3.cpp	2/0/0	7/0/0	100/40/94	100/54/100	0/0/0	100/68/100	7/0/0	7/0/0	2/0/0	7/0/0	0/0/0	2/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/0	9/0/0	0/0/0	0/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/18	0/0/18
orig4.cpp	2/0/0	7/0/0	100/40/94	100/54/100	0/0/0	100/68/100	7/0/0	7/0/0	2/0/0	7/0/0	0/0/0	2/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/0	9/0/0	0/0/0	0/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/18	0/0/18
orig7.cpp	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig10.cpp	2/0/0	7/0/0	100/40/94	100/54/100	0/0/0	100/68/100	7/0/0	7/0/0	2/0/0	7/0/0	0/0/0	2/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/0	9/0/0	0/0/0	0/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/18	0/0/18
orig11.cpp	0/0/0	28/0/0	15/0/0	15/0/0	0/0/0	15/0/0	100/97/100	100/97/100	0/0/0	15/0/0	0/0/0	0/0/0	100/97/100	28/0/0	28/0/0	0/0/0	0/0/0	20/0/0	28/0/0	0/0/0	15/0/0	0/0/0	0/0/0	0/0/0	26/0/0	26/0/0
orig12.cpp	0/0/0	28/0/0	15/0/0	15/0/0	0/0/0	15/0/0	100/97/100	100/97/100	0/0/0	15/0/0	0/0/0	0/0/0	100/97/100	28/0/0	28/0/0	0/0/0	0/0/0	20/0/0	28/0/0	0/0/0	15/0/0	0/0/0	0/0/0	0/0/0	26/0/0	26/0/0
orig13.cpp	100/55/57	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	100/99/100	0/0/0	0/0/0	2/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	7/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig14.cpp	0/0/0	5/0/0	5/0/0	5/0/0	0/0/0	5/0/0	5/0/0	5/0/0	0/0/0	100/52/100	0/0/0	0/0/23	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	11/0/0	0/0/0	0/0/21	18/42/25	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig15.cpp	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	16/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig16.cpp	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/24	0/0/0	0/0/41	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	13/0/0	0/0/0	0/0/17	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig17.cpp	0/0/0	28/0/0	15/0/0	15/0/0	0/0/0	15/0/0	100/97/100	100/97/100	0/0/0	15/0/0	0/0/0	0/0/0	100/97/100	28/0/0	28/0/0	0/0/0	0/0/0	20/0/0	28/0/0	0/0/0	15/0/0	0/0/0	0/0/0	0/0/0	26/0/0	26/0/0
orig18.cpp	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	29/0/0	29/0/0	0/0/0	5/0/0	5/0/0	5/0/0	29/0/0	56/14/36	65/15/24	0/34/0	0/24/27	0/0/0	65/21/49	5/0/0	0/0/0	46/14/32	0/0/0	0/0/0	5/0/0	5/0/0
orig19.cpp	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	29/0/0	29/0/0	0/0/0	5/0/0	5/0/0	5/0/0	29/0/0	56/14/36	65/15/24	0/34/0	0/24/27	0/0/0	65/21/49	5/0/0	0/0/0	46/14/32	0/0/0	0/0/0	5/0/0	5/0/0
orig20.cpp	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	29/0/0	29/0/0	0/0/0	5/0/0	5/0/0	5/0/0	29/0/0	56/14/36	65/15/24	0/34/0	0/24/27	0/0/0	65/21/49	5/0/0	0/0/0	46/14/32	0/0/0	0/0/0	5/0/0	5/0/0
orig21.cpp	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	29/0/0	29/0/0	0/0/0	5/0/0	5/0/0	5/0/0	29/0/0	56/14/36	65/15/24	0/34/0	0/24/27	0/0/0	65/21/49	5/0/0	0/0/0	46/14/32	0/0/0	0/0/0	5/0/0	5/0/0
orig22.cpp	0/0/0	5/0/0	5/0/0	5/0/0	0/0/0	5/0/0	5/0/0	5/0/0	0/0/0	6/0/0	0/0/0	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	19/47/100	0/0/0	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig23.cpp	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	29/0/0	29/0/0	0/0/0	5/0/0	5/0/0	5/0/0	29/0/0	56/14/36	65/15/24	0/34/0	0/24/27	0/0/0	65/21/49	5/0/0	0/0/0	46/14/32	0/0/0	0/0/0	5/0/0	5/0/0
orig24.cpp	0/14/18	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/53/47	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	9/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0
orig25.cpp	0/0/0	8/0/0	5/0/0	5/0/0	0/0/0	5/0/0	8/0/0	8/0/0	0/0/0	96/42/93	0/0/0	0/0/21	8/0/0	3/0/0	3/0/0	3/0/0	0/0/0	10/0/0	3/0/0	0/0/20	17/55/23	0/0/0	0/0/0	0/0/0	3/0/0	3/0/0
orig26.cpp	0/0/0	5/0/0	0/0/0	0/0/0	0/0/0	0/0/0	29/0/0	29/0/0	0/0/0	5/0/0	5/0/0	5/0/0	29/0/0	56/14/36	65/15/24	0/34/0	0/24/27	0/0/0	65/21/49	5/0/0	0/0/0	46/14/32	0/0/0	0/0/0	5/0/0	5/0/0
orig27.cpp	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	100/97/100	100/97/100	0/0/0	0/0/0
orig28.cpp	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	100/97/100	100/97/100	0/0/0	0/0/0
orig29.cpp	0/0/0	0/0/0	0/0/18	0/0/18	0/0/0	0/0/18	26/0/0	26/0/0	0/0/0	0/0/0	0/0/0	0/0/0	26/0/0	15/0/0	4/0/0	0/0/0	0/0/0	8/0/0	4/0/0	0/0/0	0/0/0	0/0/0	8/0/0	8/0/0	100/35/100	100/48/100
orig30.cpp	0/0/0	0/0/0	0/0/18	0/0/18	0/0/0	0/0/18	26/0/0	26/0/0	0/0/0	0/0/0	0/0/0	0/0/0	26/0/0	15/0/0	4/0/0	0/0/0	0/0/0	8/0/0	4/0/0	0/0/0	0/0/0	0/0/0	8/0/0	8/0/0	100/35/100	100/48/100
